production_companies_id,production_companies_name
3129,Anthony Buckley Films
26704,Remember Dreaming Productions
1838,Firm Films
34081,Flynn Picture Company
6137,Ruddy Morgan Productions
5330,Bruin Grip Services
5630,Non-Stop Productions
73687,Acme Films Ltd.
16123,J.K. Films
73471,Crown-Hausman
63813,Rosemont Productions International
13469,White Hat
17380,EBF Productions
2374,Thats Hollywood
11466,Akil Production Company
19957,Script Associés
22299,Triple Ajaxxx
87892,Leftwood Films
48269,Company Name
14317,Republic Pictures (I)
6202,# Lexyn Productions
81063,Polish State Film Studio
843,Werner Herzog Filmproduktion
46441,Luka Productions
29924,Fresh Film
5073,WoWow
19834,Inside Track Films
2148,Flagship International
11804,Easy There Tiger Productions
12073,Dillywood
56782,Svoboda&Williams
76809,JP Entertainment
2699,Caviar Films
85502,Bad Kids
13304,Gouvernement Canadien
28361,BSM Studio
5331,Good Dog Productions LLC
17997,Turkey Films
48320,M-Line Distribution
5860,Anchor Bay Films
8492,Radiotelevisão Portuguesa (RTP)
75507,Peter Hutton
52012,Coproducción Canadá-USA
79272,Sommerhaus Filmproduktionen
1523,Ciné Valse
90738,Paramount Pictures (Canada)
1269,Momentum Films
6070,Regner Grasten
19719,Saints LA
52515,Remote
15297,Gordon Films
3973,"JCE Entertainment Ltd,"
16197,Heartland Motion Pictures
85921,Total Recall
3466,Movic
20790,ToonBox Entertainment
6246,Medusa Film
4658,Ace Deuce Entertainment
33666,William F. Storke & Robert E. Fuisz
34994,Julijette
25951,Film002
6403,Specialty Films
3486,DreamWorks Home Entertainment
81974,Dulciné Films
75632,Opus Film (koprodukcja)
16860,Hernany Perla Films
16465,Severed Productions
8152,Doha Film Institute
10761,Danjaq
15125,Capital Equipment Leasing
90512,Don Bluth Productions
1042,Cinecittà
54088,Nordsjøfilm
2876,Sandstorm Films
10146,Focus Features
77,Milestone Productions
9044,V. Creations
23488,Kanzeon
1996,Novo RPI
36059,Spectrum Media Entertainment
3220,Benton Film Productions
78751,安乐（北京）电影发行有限公司
72597,Limp Films
21410,S.O.A.F. Productions
57263,September Gurls Productions
5948,ABC Family
30241,AtomFilms
84007,Ralph Smart Productions
22060,D & B Films Co. Ltd.
10739,Productions Thalie
76045,Korchula Productions
46690,Cinema Entertainment Enterprises Ltd.
12460,EA International
4411,MMC Independent
7437,IM Global
2951,Les Films du Kiosque
3867,N Chandra Global Infotainment Ltd
53044,Company of Wolves
72731,Film Polska Production
1079,Xstream Pictures
33511,Yorkshire Television (YTV)
34320,Film Clinic
24885,Avalon Pictures
41649,Melbarken
10231,Farrell/Minoff
53413,80 Days Productions
29812,Telescene Film Group Productions
5115,Channel Z Films
47223,Clockwerk Creature Company
60137,Cady-Film
28273,Village Roadshow Pictures Worldwide
9169,Hemisphere Media Capital
10220,Crimson Productions
92467,Nordisk Film Production Sverige AB
37334,Jack and Rose Productions
15722,FilmBuff
10977,Picturebox
21532,Motion Picture House
54659,Athos Films
9118,Samuel Goldwyn Films
1859,Ritm
16736,Sequoin Films
52149,Illuminary Pictures
40666,PixL Entertainment
30257,Hollywood Partners
56365,Thomas Carter Company
63349,Bitter Films
93197,Parabólica Brasil
80327,The Entertainment Network
16439,Made in Copenhagen
68074,Shirley Clarke Productions
67186,Quarante 12 Films
76494,Hiller Productions
44896,Wind Chill Productions
20458,Elkins Productions International Corporation
55330,Canafox Films
80075,Trick Candle Productions
89158,TRZ Comunicacion
80745,"WOWOW Entertainment,Inc."
12398,Chic Films
27317,Medienproduktion Poseidon Filmgesellschaft
72809,Sunny Super Sound
13229,Breath
54940,Algonquin Productions Limited
23896,Brighton Pictures
39850,Proyectil
80761,Manitou Productions Ltd.
21280,Black Gold Films (II)
45663,Arches Films
19267,Conseil Régional du Calvados
2978,Crusader Entertainment
43860,Sol'oeil Films
29273,Skerry Productions
6447,Ragewar Productions
3386,ISL Film
78121,Vereinigte Star-Film GmbH
12713,Monachia Film
38506,Private Island Trax
73253,Phoenix Rising Motion Pictures
91531,YMC Productions
23441,Les Productions du Ch'timi
19804,Angel Film
22261,ADCB Films
88332,IMTM Films
359,Figment Films
72688,Chicago Overcoat Productions
13170,Cinetotal
59593,AMBI Group
10680,Inex Film
38204,Rysher / Citadel Entertainment
84138,Centro Cinematografico del Ministero della Marina
1249,Les Films du Lendemain
4349,Amrion
5021,Chanford
11856,Mohana Movies
23337,Torchlight Productions
978,Across the River Productions
9365,Egmont Film
73568,K&S Films
27206,FCCE
10029,Candescent Films
1075,Europa Corp
12786,Ital-Victoria Films
7992,DHE Corporation
6822,Jaffe / Braunstein Enterprise
20008,CMW Films
79924,Ketchum Labs
73079,Versus Pictures
78935,Cofinova 12
1616,Process Productions
21595,HUMAL Productions
6725,Zap-O-Matik
55525,ADPProductions
48038,Attaboy Films
66483,Foreverland Productions
32793,CST Telecommunications
22937,Press Pop
12208,Tandem Productions (II)
31893,DreamWorks Studios
2551,Telmar Film International
17466,Warner Bros. Entertainment GmbH
7427,Blacklake Productions
49167,Capricorn
20148,Torii Production
11932,Centre du Cinéma et de l'Audiovisuel de la Communauté Française de Belgique
95585,Zealcorp Productions Limited
7271,United Pictures
20711,Doperfilme
35441,Japan Association of Music Enterprises (JAME)
2083,Maximage GmbH
69059,BBDO
23105,Lone Star Film Group
14521,Vitri Films
77963,FFA Private Bank
72861,Dalia Films
2640,Odeon Film
59280,SQ Film Laboratories
89773,Sonar Advanced Music
11476,Jean-Louis Nounez
46315,Wizart Animation
15781,E-Wolf
63063,Cinephase
6288,Meteor Film Productions
9980,Fondo para la Producción Cinematográfica de Calidad (FOPROCINE)
37488,Mira Filmes
31058,Wit Studio
21470,Topkick Productions
2938,Abbas Kiarostami Productions
91689,KriArj Entertainment
22457,Alan C. Margolin - Joel M. Reed Productions
2714,Asgaard Entertainment
3419,Централ Партнершип
19098,Green Hills Productions
86556,Olhar Imaginário
35610,Grizly Films
75818,Radiate Films
13949,River Road Productions
38303,Cine Cut Films Inc.
79859,Verizon Communications
3715,Hungarian Film Institute
84790,Dubai Entertainment and Media Organization
52284,Chydzik Media Group
1656,Pangaea
94936,Kinugasa Productions
18444,Huh huh -Filmi Oy
83545,Cinestación
34341,The Film House
21873,Western Edge Pictures
8717,Chrysalis Films
19434,Greta Film AB
32662,Central Newsreel and Documentary Film Studio
21179,Kinoslovo
4517,Locomotion Films
22549,Mercator Pictures
60891,Dark Arts Film
72697,Melody Maker Productions & MMP Audio
47685,Stuart Miller Productions
8685,Eficine 226
39250,House & Moorhouse Films
55783,Ether Films
11863,Guiding Star Productions
12344,Flanders Audiovisual Fund (VAF)
8880,Winkler Films
37658,Philip A. Waxman Productions Inc.
88030,Harbin
51470,Basic Pictures
21716,Sweetland Films
8808,McElroy & McElroy
280,Cinémaginaire Inc.
7857,Old Street Films
27719,Kahoku Shimposha
28490,Una Cinecooperativa
4698,Cinema West Productions
14268,Cofinova 9
2512,Harbour Pictures
24140,Alternative Investments of Michigan
24923,Bekmambetov Projects Ltd.
77657,Official Pictures
48648,Buffalo Picture House
87243,Giallo Production
22550,Natural Selection
81137,Friendly Films Productions
25926,Media World Studios
15321,Oakshire Productions
3389,TV2
18230,Filmgate Films
686,Tiger Aspect Productions
3995,Stephanie Germain Productions
11011,Fonds Eurimages du Conseil de l'Europe
